"SurveyResponseID","AnswerNumber","TravelledWith"
3586083,43,"My husband, wife or partner"
3586084,38,"My husband, wife or partner"
3585735,44,"My husband, wife or partner"
3585552,41,"My husband, wife or partner"
3586099,45,"My husband, wife or partner"
3585737,39,"My husband, wife or partner"
3585739,37,"Other family / relative(s)"
3585572,44,"Other person(s)"
3585746,38,"Other person(s)"
3585753,45,"Child/children aged 15 or older"
3586100,42,"Other person(s)"
3585563,38,"My husband, wife or partner"
3585568,37,"My husband, wife or partner"
3586126,43,"My husband, wife or partner"
3585755,40,"Other family / relative(s)"
3586102,40,"Child/children aged 15 or older"
3585572,43,"My husband, wife or partner"
3586117,41,"Child/children aged under 15"
3585593,43,"Other family / relative(s)"
3586127,42,"My husband, wife or partner"
3585577,39,"My husband, wife or partner"
3585588,41,"My husband, wife or partner"
3585755,39,"My husband, wife or partner"
3585593,44,"Other person(s)"
3586116,37,"Other person(s)"
3586117,40,"My husband, wife or partner"
3585764,42,"Other family / relative(s)"
3585595,39,"My husband, wife or partner"
3585769,51,"My husband, wife or partner"
3585602,41,"My husband, wife or partner"
3585604,40,"My husband, wife or partner"
3585778,38,"My husband, wife or partner"
3585787,39,"My husband, wife or partner"
3585611,42,"My husband, wife or partner"
3586132,58,"Other person(s)"
3585780,41,"Other family / relative(s)"
3586134,44,"Child/children aged 15 or older"
3585789,41,"Other person(s)"
3586134,45,"Other family / relative(s)"
3585794,37,"Other person(s)"
3585796,38,"Other family / relative(s)"
3586134,42,"My husband, wife or partner"
3585789,40,"My husband, wife or partner"
3585613,71,"My husband, wife or partner"
3586135,40,"My husband, wife or partner"
3585611,43,"Child/children aged under 15"
3586134,43,"Child/children aged under 15"
3586135,41,"Child/children aged under 15"
3585620,42,"Other family / relative(s)"
3585627,38,"Other family / relative(s)"
3585618,39,"Child/children aged under 15"
3585618,38,"My husband, wife or partner"
3585803,42,"My husband, wife or partner"
3585620,41,"My husband, wife or partner"
3585622,44,"My husband, wife or partner"
3585812,37,"My husband, wife or partner"
3585629,38,"My husband, wife or partner"
3585636,42,"Other person(s)"
3585638,38,"Child/children aged 15 or older"
3586143,39,"Other family / relative(s)"
3585828,46,"Other person(s)"
3585814,39,"My husband, wife or partner"
3586141,45,"My husband, wife or partner"
3586142,43,"My husband, wife or partner"
3585645,45,"My husband, wife or partner"
3586143,37,"My husband, wife or partner"
3586143,38,"Child/children aged under 15"
3585647,38,"Child/children aged under 15"
3586151,57,"My husband, wife or partner"
3585830,40,"My husband, wife or partner"
3585661,38,"My husband, wife or partner"
3586168,39,"My husband, wife or partner"
3585670,39,"My husband, wife or partner"
3585677,51,"My husband, wife or partner"
3586184,42,"My husband, wife or partner"
3586144,42,"My husband, wife or partner"
3585654,40,"Other person(s)"
3586166,40,"Other person(s)"
3585661,39,"Other family / relative(s)"
3585663,38,"Other person(s)"
3585839,38,"Other family / relative(s)"
3585844,38,"Other person(s)"
3586186,40,"My husband, wife or partner"
3585688,48,"My husband, wife or partner"
3585695,39,"My husband, wife or partner"
3586185,37,"Other person(s)"
3586186,41,"Other family / relative(s)"
3585846,38,"Other family / relative(s)"
3585697,43,"Other family / relative(s)"
3586158,39,"Child/children aged under 15"
3586157,37,"My husband, wife or partner"
3585711,45,"My husband, wife or partner"
3586202,46,"My husband, wife or partner"
3586158,38,"My husband, wife or partner"
3585862,38,"My husband, wife or partner"
3585697,44,"Other person(s)"
3586199,43,"Child/children aged 15 or older"
3585853,37,"Other person(s)"
3585704,48,"Other person(s)"
3586200,40,"Other person(s)"
3585855,43,"Other person(s)"
3585720,38,"My husband, wife or partner"
3585869,50,"My husband, wife or partner"
3585722,39,"My husband, wife or partner"
3586161,37,"My husband, wife or partner"
3585713,38,"Other person(s)"
3586159,37,"Other person(s)"
3585864,38,"Other person(s)"
3586160,37,"Other person(s)"
3585727,41,"Other person(s)"
3585738,40,"My husband, wife or partner"
3585745,44,"My husband, wife or partner"
3586174,38,"Other family / relative(s)"
3586216,43,"Other family / relative(s)"
3585729,38,"Child/children aged 15 or older"
3586175,40,"Child/children aged 15 or older"
3586175,41,"Other family / relative(s)"
3586218,39,"Child/children aged 15 or older"
3585871,38,"Other person(s)"
3586233,38,"Other family / relative(s)"
3586192,40,"Other person(s)"
3585747,38,"Child/children aged 15 or older"
3585878,39,"Other person(s)"
3586192,38,"My husband, wife or partner"
3586235,38,"My husband, wife or partner"
3586192,39,"Child/children aged under 15"
3585887,44,"Child/children aged under 15"
3586250,46,"Child/children aged under 15"
3585761,45,"Child/children aged under 15"
3585887,43,"My husband, wife or partner"
3586249,38,"My husband, wife or partner"
3586250,45,"My husband, wife or partner"
3585761,44,"My husband, wife or partner"
3586208,41,"My husband, wife or partner"
3586193,57,"Other person(s)"
3585887,45,"Child/children aged 15 or older"
3585754,38,"Other person(s)"
3586250,47,"Child/children aged 15 or older"
3585894,38,"Other person(s)"
3585761,46,"Child/children aged 15 or older"
3586208,42,"Child/children aged 15 or older"
3586251,37,"Other person(s)"
3586252,39,"Other family / relative(s)"
3586209,53,"Child/children aged 15 or older"
3586210,47,"Other person(s)"
3586211,40,"Other person(s)"
3585770,38,"My husband, wife or partner"
3585896,46,"My husband, wife or partner"
3586266,39,"My husband, wife or partner"
3585772,42,"My husband, wife or partner"
3586267,38,"My husband, wife or partner"
3585786,57,"My husband, wife or partner"
3585905,42,"My husband, wife or partner"
3586225,38,"My husband, wife or partner"
3585912,44,"My husband, wife or partner"
3586267,39,"Child/children aged under 15"
3586225,39,"Child/children aged under 15"
3586226,39,"Child/children aged under 15"
3585903,39,"Other family / relative(s)"
3586267,40,"Other family / relative(s)"
3585905,43,"Child/children aged 15 or older"
3586269,37,"Other person(s)"
3586225,40,"Other family / relative(s)"
3585788,40,"Other person(s)"
3586300,45,"Child/children aged under 15"
3586283,42,"My husband, wife or partner"
3586300,44,"My husband, wife or partner"
3585928,53,"My husband, wife or partner"
3586301,38,"My husband, wife or partner"
3585802,45,"My husband, wife or partner"
3586302,44,"My husband, wife or partner"
3585914,46,"Other person(s)"
3586286,38,"Other person(s)"
3585919,37,"Other person(s)"
3586241,43,"Other family / relative(s)"
3586242,49,"Child/children aged 15 or older"
3585939,41,"Other person(s)"
3586303,38,"Other family / relative(s)"
3585811,39,"Other family / relative(s)"
3586244,38,"Other family / relative(s)"
3586259,43,"Other person(s)"
3585820,48,"Other person(s)"
3585946,41,"Other family / relative(s)"
3585946,42,"Other person(s)"
3586318,40,"Other family / relative(s)"
3586261,43,"Other family / relative(s)"
3585822,38,"Child/children aged 15 or older"
3585822,39,"Other family / relative(s)"
3585953,44,"Child/children aged 15 or older"
3585806,43,"Child/children aged under 15"
3586317,41,"Child/children aged under 15"
3586242,48,"My husband, wife or partner"
3585806,42,"My husband, wife or partner"
3586317,40,"My husband, wife or partner"
3586261,42,"My husband, wife or partner"
3585953,43,"My husband, wife or partner"
3586274,47,"My husband, wife or partner"
3585962,38,"My husband, wife or partner"
3586275,43,"Other family / relative(s)"
3585827,48,"Other person(s)"
3586334,39,"Other family / relative(s)"
3586277,42,"Other family / relative(s)"
3586292,38,"Other person(s)"
3585973,46,"Other person(s)"
3586334,38,"Child/children aged under 15"
3586351,41,"Child/children aged under 15"
3585964,60,"My husband, wife or partner"
3585831,39,"My husband, wife or partner"
3586291,42,"My husband, wife or partner"
3585973,45,"My husband, wife or partner"
3585836,40,"My husband, wife or partner"
3585836,41,"Other family / relative(s)"
3585978,39,"Other person(s)"
3586308,40,"Child/children aged 15 or older"
3586366,38,"Other person(s)"
3585845,41,"Other person(s)"
3585987,42,"Other family / relative(s)"
3586368,39,"Child/children aged 15 or older"
3586310,48,"Other family / relative(s)"
3586367,44,"Child/children aged under 15"
3586310,47,"Child/children aged under 15"
3586353,60,"My husband, wife or partner"
3586309,38,"My husband, wife or partner"
3586310,46,"My husband, wife or partner"
3586383,47,"Other person(s)"
3586326,41,"Child/children aged 15 or older"
3586311,42,"Child/children aged under 15"
3585989,57,"My husband, wife or partner"
3585847,38,"My husband, wife or partner"
3586369,43,"My husband, wife or partner"
3586311,41,"My husband, wife or partner"
3586326,40,"My husband, wife or partner"
3585861,43,"My husband, wife or partner"
3586327,39,"Child/children aged 15 or older"
3586385,37,"Other family / relative(s)"
3586003,46,"Other family / relative(s)"
3586386,39,"Other person(s)"
3586342,38,"Other family / relative(s)"
3586003,45,"Child/children aged under 15"
3585998,39,"My husband, wife or partner"
3585870,41,"My husband, wife or partner"
3586328,37,"My husband, wife or partner"
3586003,44,"My husband, wife or partner"
3586005,41,"My husband, wife or partner"
3586400,38,"My husband, wife or partner"
3585879,44,"Other person(s)"
3586343,40,"Child/children aged 15 or older"
3586012,37,"My husband, wife or partner"
3586403,39,"Other person(s)"
3585888,52,"Other person(s)"
3586359,37,"Other person(s)"
3586360,46,"Other person(s)"
3586418,39,"Child/children aged 15 or older"
3586030,63,"Other person(s)"
3585881,38,"My husband, wife or partner"
3586434,40,"Child/children aged under 15"
3586361,50,"Other person(s)"
3586434,41,"Child/children aged 15 or older"
3586028,41,"My husband, wife or partner"
3585895,53,"My husband, wife or partner"
3585904,51,"My husband, wife or partner"
3586361,49,"My husband, wife or partner"
3586434,39,"My husband, wife or partner"
3586435,42,"My husband, wife or partner"
3585906,43,"My husband, wife or partner"
3585906,44,"Child/children aged 15 or older"
3586039,39,"Child/children aged 15 or older"
3586436,38,"Other family / relative(s)"
3585913,41,"Child/children aged 15 or older"
3586046,43,"Other person(s)"
3586451,39,"Other person(s)"
3586378,38,"Other person(s)"
3586053,40,"Child/children aged 15 or older"
3586375,37,"My husband, wife or partner"
3586377,74,"My husband, wife or partner"
3586046,42,"My husband, wife or partner"
3585922,38,"Other person(s)"
3586467,38,"Child/children aged 15 or older"
3586062,67,"Other family / relative(s)"
3586062,68,"Other person(s)"
3585931,43,"Other person(s)"
3586468,39,"Other family / relative(s)"
3585945,42,"My husband, wife or partner"
3586087,38,"My husband, wife or partner"
3586484,39,"My husband, wife or partner"
3586053,39,"Child/children aged under 15"
3585945,43,"Child/children aged under 15"
3586484,40,"Child/children aged under 15"
3586500,38,"Child/children aged under 15"
3586073,60,"Other person(s)"
3586470,38,"Other family / relative(s)"
3585947,44,"Other person(s)"
3586096,41,"Other family / relative(s)"
3585961,44,"Child/children aged 15 or older"
3586500,39,"Child/children aged 15 or older"
3585963,37,"My husband, wife or partner"
3586408,47,"My husband, wife or partner"
3586114,41,"My husband, wife or partner"
3586123,45,"My husband, wife or partner"
3586517,39,"My husband, wife or partner"
3586098,38,"Other person(s)"
3586105,38,"Other family / relative(s)"
3586112,39,"Child/children aged 15 or older"
3586518,40,"Child/children aged under 15"
3586148,40,"Child/children aged under 15"
3585981,37,"Other person(s)"
3586518,39,"My husband, wife or partner"
3586123,46,"Other person(s)"
3586137,39,"Other person(s)"
3586425,48,"Other person(s)"
3585986,38,"Other family / relative(s)"
3586146,42,"Child/children aged 15 or older"
3586533,39,"My husband, wife or partner"
3586155,38,"Child/children aged under 15"
3586445,40,"Child/children aged under 15"
3586155,37,"My husband, wife or partner"
3586443,38,"My husband, wife or partner"
3585997,40,"My husband, wife or partner"
3586535,39,"My husband, wife or partner"
3586445,39,"My husband, wife or partner"
3586004,38,"My husband, wife or partner"
3586162,41,"My husband, wife or partner"
3586428,39,"Child/children aged 15 or older"
3586533,40,"Child/children aged 15 or older"
3586444,40,"Other person(s)"
3586162,42,"Other person(s)"
3586458,37,"Other person(s)"
3586536,41,"Other family / relative(s)"
3586164,38,"My husband, wife or partner"
3586551,47,"My husband, wife or partner"
3586004,39,"Child/children aged under 15"
3586460,50,"Child/children aged under 15"
3586460,49,"My husband, wife or partner"
3586020,43,"My husband, wife or partner"
3586173,38,"My husband, wife or partner"
3586552,39,"My husband, wife or partner"
3586459,49,"Other person(s)"
3586537,40,"Other family / relative(s)"
3586011,41,"Other person(s)"
3586460,51,"Child/children aged 15 or older"
3586020,44,"Child/children aged 15 or older"
3586173,39,"Child/children aged 15 or older"
3586022,38,"My husband, wife or partner"
3586178,38,"My husband, wife or partner"
3586567,39,"My husband, wife or partner"
3586029,39,"My husband, wife or partner"
3586180,48,"My husband, wife or partner"
3586031,47,"My husband, wife or partner"
3586031,48,"Child/children aged under 15"
3586461,39,"Other family / relative(s)"
3586461,40,"Other person(s)"
3586569,38,"Other person(s)"
3586476,50,"Other person(s)"
3586045,38,"Other family / relative(s)"
3586187,50,"Other person(s)"
3586570,45,"My husband, wife or partner"
3586477,47,"My husband, wife or partner"
3586056,48,"My husband, wife or partner"
3586198,49,"My husband, wife or partner"
3586061,38,"My husband, wife or partner"
3586600,38,"My husband, wife or partner"
3586601,42,"Child/children aged under 15"
3586047,48,"Other person(s)"
3586585,40,"Other family / relative(s)"
3586196,42,"Other person(s)"
3586586,38,"Other family / relative(s)"
3586198,50,"Child/children aged 15 or older"
3586063,44,"Other person(s)"
3586493,47,"My husband, wife or partner"
3586602,50,"My husband, wife or partner"
3586212,38,"My husband, wife or partner"
3586081,48,"My husband, wife or partner"
3586509,41,"My husband, wife or partner"
3586603,58,"My husband, wife or partner"
3586203,40,"Other person(s)"
3586065,40,"Other person(s)"
3586205,40,"Other person(s)"
3586494,37,"Other person(s)"
3586207,38,"Other person(s)"
3586603,59,"Child/children aged 15 or older"
3586086,38,"My husband, wife or partner"
3586512,39,"My husband, wife or partner"
3586617,42,"My husband, wife or partner"
3586603,60,"Other family / relative(s)"
3586510,41,"Other person(s)"
3586221,40,"Other person(s)"
3586090,37,"Other family / relative(s)"
3586228,44,"Other person(s)"
3586232,45,"Child/children aged under 15"
3586526,39,"Child/children aged under 15"
3586617,43,"Other family / relative(s)"
3586525,39,"Other family / relative(s)"
3586618,42,"Other family / relative(s)"
3586104,43,"Other family / relative(s)"
3586106,40,"Other person(s)"
3586634,41,"Other family / relative(s)"
3586232,44,"My husband, wife or partner"
3586106,39,"My husband, wife or partner"
3586635,45,"My husband, wife or partner"
3586115,52,"My husband, wife or partner"
3586543,46,"My husband, wife or partner"
3586650,49,"My husband, wife or partner"
3586635,46,"Child/children aged under 15"
3586544,39,"My husband, wife or partner"
3586528,48,"Other person(s)"
3586257,39,"My husband, wife or partner"
3586122,54,"My husband, wife or partner"
3586635,47,"Other family / relative(s)"
3586262,38,"My husband, wife or partner"
3586239,53,"Other person(s)"
3586543,47,"Child/children aged 15 or older"
3586559,42,"My husband, wife or partner"
3586145,42,"My husband, wife or partner"
3586561,40,"My husband, wife or partner"
3586248,37,"Other person(s)"
3586544,40,"Other person(s)"
3586651,38,"Other family / relative(s)"
3586652,39,"Child/children aged 15 or older"
3586129,42,"Other person(s)"
3586271,39,"Other family / relative(s)"
3586667,40,"My husband, wife or partner"
3586562,45,"My husband, wife or partner"
3586147,44,"My husband, wife or partner"
3586654,38,"Other person(s)"
3586273,51,"Child/children aged 15 or older"
3586667,41,"Other person(s)"
3586273,52,"Other family / relative(s)"
3586147,46,"Other person(s)"
3586147,45,"Child/children aged under 15"
3586575,38,"Other person(s)"
3586684,40,"Child/children aged under 15"
3586686,37,"Child/children aged under 15"
3586669,39,"Other person(s)"
3586576,41,"Other family / relative(s)"
3586154,60,"My husband, wife or partner"
3586280,42,"My husband, wife or partner"
3586577,39,"My husband, wife or partner"
3586163,40,"My husband, wife or partner"
3586684,39,"My husband, wife or partner"
3586592,48,"My husband, wife or partner"
3586594,45,"Other person(s)"
3586687,39,"Other family / relative(s)"
3586287,38,"Other family / relative(s)"
3586595,38,"Other family / relative(s)"
3586703,38,"Other family / relative(s)"
3586305,39,"Other family / relative(s)"
3586610,38,"Other family / relative(s)"
3586717,38,"Other family / relative(s)"
3586170,36,"My husband, wife or partner"
3586701,39,"Child/children aged under 15"
3586289,39,"Child/children aged under 15"
3586179,38,"Child/children aged under 15"
3586307,41,"Child/children aged under 15"
3586307,40,"My husband, wife or partner"
3586625,46,"My husband, wife or partner"
3586627,44,"My husband, wife or partner"
3586188,39,"Other family / relative(s)"
3586307,42,"Other family / relative(s)"
3586719,38,"Other person(s)"
3586190,39,"Other family / relative(s)"
3586314,38,"Other family / relative(s)"
3586323,38,"Other person(s)"
3586628,48,"My husband, wife or partner"
3586737,41,"My husband, wife or partner"
3586332,43,"My husband, wife or partner"
3586753,61,"My husband, wife or partner"
3586629,43,"My husband, wife or partner"
3586213,40,"Child/children aged 15 or older"
3586330,61,"Other person(s)"
3586736,38,"Other family / relative(s)"
3586215,41,"Child/children aged 15 or older"
3586737,42,"Other family / relative(s)"
3586752,38,"Other person(s)"
3586629,44,"Child/children aged under 15"
3586348,38,"My husband, wife or partner"
3586642,42,"My husband, wife or partner"
3586362,43,"My husband, wife or partner"
3586644,38,"My husband, wife or partner"
3586238,41,"My husband, wife or partner"
3586222,40,"Child/children aged 15 or older"
3586346,46,"Other person(s)"
3586229,38,"Other family / relative(s)"
3586770,38,"My husband, wife or partner"
3586767,39,"Other family / relative(s)"
3586659,43,"My husband, wife or partner"
3586373,40,"My husband, wife or partner"
3586768,45,"Other person(s)"
3586364,49,"Other family / relative(s)"
3586769,41,"Other family / relative(s)"
3586645,40,"Other family / relative(s)"
3586661,40,"My husband, wife or partner"
3586254,45,"My husband, wife or partner"
3586676,43,"My husband, wife or partner"
3586245,59,"Other person(s)"
3586380,39,"Child/children aged 15 or older"
3586661,41,"Child/children aged 15 or older"
3586382,40,"Other family / relative(s)"
3586662,44,"Other person(s)"
3586396,43,"Child/children aged under 15"
3586804,38,"Child/children aged under 15"
3586803,38,"My husband, wife or partner"
3586387,48,"Child/children aged 15 or older"
3586396,42,"My husband, wife or partner"
3586263,41,"My husband, wife or partner"
3586818,38,"My husband, wife or partner"
3586819,39,"My husband, wife or partner"
3586398,41,"My husband, wife or partner"
3586389,42,"Other person(s)"
3586678,39,"Other family / relative(s)"
3586679,39,"Child/children aged 15 or older"
3586265,47,"Other family / relative(s)"
3586692,45,"Other family / relative(s)"
3586405,45,"Other person(s)"
3586821,39,"Other person(s)"
3586270,44,"Other person(s)"
3586407,47,"Child/children aged 15 or older"
3586272,41,"Other family / relative(s)"
3586694,42,"Other family / relative(s)"
3586270,43,"Child/children aged under 15"
3586272,40,"Child/children aged under 15"
3586412,37,"Other person(s)"
3586679,38,"My husband, wife or partner"
3586270,42,"My husband, wife or partner"
3586407,46,"My husband, wife or partner"
3586693,40,"My husband, wife or partner"
3586851,43,"My husband, wife or partner"
3586414,45,"My husband, wife or partner"
3586854,47,"My husband, wife or partner"
3586416,38,"Other family / relative(s)"
3586710,38,"Other person(s)"
3586711,37,"Other person(s)"
3586868,46,"My husband, wife or partner"
3586871,38,"My husband, wife or partner"
3586281,38,"My husband, wife or partner"
3586884,41,"My husband, wife or partner"
3586288,38,"My husband, wife or partner"
3586726,40,"My husband, wife or partner"
3586441,49,"My husband, wife or partner"
3586886,38,"My husband, wife or partner"
3586887,37,"My husband, wife or partner"
3586441,50,"Child/children aged 15 or older"
3586290,39,"Other person(s)"
3586446,48,"Other person(s)"
3586901,38,"Child/children aged under 15"
3586744,38,"Child/children aged under 15"
3586448,39,"Other person(s)"
3586888,41,"My husband, wife or partner"
3586299,40,"My husband, wife or partner"
3586744,37,"My husband, wife or partner"
3586455,38,"My husband, wife or partner"
3586746,41,"My husband, wife or partner"
3586903,40,"My husband, wife or partner"
3586902,40,"Other family / relative(s)"
3586919,42,"My husband, wife or partner"
3586306,40,"Child/children aged under 15"
3586315,38,"Child/children aged under 15"
3586306,41,"Other person(s)"
3586935,41,"Child/children aged under 15"
3586745,42,"Other family / relative(s)"
3586457,38,"My husband, wife or partner"
3586904,37,"Other person(s)"
3586322,38,"My husband, wife or partner"
3586324,42,"My husband, wife or partner"
3586322,39,"Child/children aged 15 or older"
3586935,40,"My husband, wife or partner"
3586462,54,"My husband, wife or partner"
3586921,38,"Other family / relative(s)"
3586935,42,"Other family / relative(s)"
3586776,42,"My husband, wife or partner"
3586938,41,"My husband, wife or partner"
3586464,42,"My husband, wife or partner"
3586464,43,"Child/children aged under 15"
3586464,44,"Other family / relative(s)"
3586779,38,"Child/children aged 15 or older"
3586466,39,"Other family / relative(s)"
3586345,43,"Other person(s)"
3586471,40,"Other person(s)"
3586969,44,"Other person(s)"
3586338,39,"My husband, wife or partner"
3586951,38,"My husband, wife or partner"
3586952,38,"My husband, wife or partner"
3586480,40,"Child/children aged under 15"
3586471,39,"My husband, wife or partner"
3586794,41,"My husband, wife or partner"
3586970,48,"My husband, wife or partner"
3586480,39,"My husband, wife or partner"
3586365,52,"Other person(s)"
3586473,40,"Other family / relative(s)"
3586796,39,"Other family / relative(s)"
3586796,40,"Other person(s)"
3586372,38,"Other person(s)"
3586809,38,"Child/children aged 15 or older"
3586987,42,"My husband, wife or partner"
3586810,40,"My husband, wife or partner"
3586379,39,"My husband, wife or partner"
3586811,40,"My husband, wife or partner"
3586482,38,"My husband, wife or partner"
3586489,46,"My husband, wife or partner"
3586480,41,"Child/children aged 15 or older"
3586379,40,"Child/children aged 15 or older"
3586988,37,"Other person(s)"
3586826,41,"Other person(s)"
3586397,39,"Other family / relative(s)"
3586399,38,"Other person(s)"
3587001,39,"My husband, wife or partner"
3586827,40,"My husband, wife or partner"
3586496,38,"Child/children aged under 15"
3587002,38,"My husband, wife or partner"
3586828,38,"My husband, wife or partner"
3587004,38,"My husband, wife or partner"
3586829,38,"My husband, wife or partner"
3587005,41,"Other family / relative(s)"
3586406,38,"Other family / relative(s)"
3586514,40,"Other family / relative(s)"
3586516,40,"Other family / relative(s)"
3587018,38,"Child/children aged under 15"
3586516,39,"Child/children aged under 15"
3586505,39,"My husband, wife or partner"
3586843,38,"My husband, wife or partner"
3587018,37,"My husband, wife or partner"
3586507,37,"My husband, wife or partner"
3587019,38,"My husband, wife or partner"
3586859,40,"My husband, wife or partner"
3587021,46,"My husband, wife or partner"
3586521,39,"Other person(s)"
3586861,41,"Other family / relative(s)"
3587036,43,"Other family / relative(s)"
3586539,99,"Other person(s)"
3586523,40,"Child/children aged under 15"
3586415,38,"My husband, wife or partner"
3586422,48,"My husband, wife or partner"
3586523,39,"My husband, wife or partner"
3586530,39,"My husband, wife or partner"
3586862,40,"My husband, wife or partner"
3586863,39,"My husband, wife or partner"
3586863,40,"Child/children aged under 15"
3587037,47,"Child/children aged under 15"
3586429,42,"Child/children aged under 15"
3586424,38,"Other person(s)"
3586876,40,"Other family / relative(s)"
3586431,49,"Other person(s)"
3586877,51,"Other person(s)"
3586546,38,"Other family / relative(s)"
3587054,39,"Child/children aged 15 or older"
3587037,46,"My husband, wife or partner"
3586429,41,"My husband, wife or partner"
3586541,38,"My husband, wife or partner"
3587038,38,"My husband, wife or partner"
3586878,43,"My husband, wife or partner"
3587054,38,"My husband, wife or partner"
3586548,47,"My husband, wife or partner"
3587068,42,"Child/children aged under 15"
3586438,40,"Other family / relative(s)"
3586449,39,"Other person(s)"
3586893,53,"Other person(s)"
3587068,43,"Other family / relative(s)"
3586564,39,"Other person(s)"
3586894,38,"Other family / relative(s)"
3587071,41,"Child/children aged under 15"
3586456,39,"Other family / relative(s)"
3587055,52,"My husband, wife or partner"
3587068,41,"My husband, wife or partner"
3586557,38,"My husband, wife or partner"
3586454,42,"My husband, wife or partner"
3586463,37,"Other person(s)"
3587070,47,"My husband, wife or partner"
3587071,40,"My husband, wife or partner"
3586910,44,"Other family / relative(s)"
3586896,40,"Child/children aged under 15"
3586571,40,"My husband, wife or partner"
3586465,41,"My husband, wife or partner"
3587085,38,"My husband, wife or partner"
3586896,39,"My husband, wife or partner"
3586580,44,"My husband, wife or partner"
3586472,41,"My husband, wife or partner"
3586911,41,"Child/children aged under 15"
3586479,39,"Child/children aged under 15"
3587088,44,"Other family / relative(s)"
3587086,38,"My husband, wife or partner"
3586911,40,"My husband, wife or partner"
3586479,38,"My husband, wife or partner"
3587087,39,"My husband, wife or partner"
3586589,38,"My husband, wife or partner"
3586488,42,"My husband, wife or partner"
3586912,42,"Child/children aged 15 or older"
3586596,43,"Child/children aged under 15"
3587103,39,"Child/children aged 15 or older"
3587103,38,"Child/children aged under 15"
3586596,42,"My husband, wife or partner"
3586912,41,"My husband, wife or partner"
3586490,42,"My husband, wife or partner"
3587103,37,"My husband, wife or partner"
3586926,38,"My husband, wife or partner"
3586605,43,"My husband, wife or partner"
3586504,42,"Child/children aged under 15"
3586927,43,"Child/children aged 15 or older"
3586504,43,"Other family / relative(s)"
3587105,37,"Other person(s)"
3586607,42,"Other family / relative(s)"
3586614,49,"Other person(s)"
3586944,39,"Child/children aged 15 or older"
3586944,40,"Other family / relative(s)"
3586927,42,"My husband, wife or partner"
3586504,41,"My husband, wife or partner"
3586928,42,"My husband, wife or partner"
3587121,44,"Child/children aged under 15"
3586506,39,"Child/children aged under 15"
3586506,38,"My husband, wife or partner"
3586944,38,"My husband, wife or partner"
3587121,43,"My husband, wife or partner"
3586616,42,"My husband, wife or partner"
3586513,47,"My husband, wife or partner"
3586946,37,"Other person(s)"
3586616,43,"Other family / relative(s)"
3586960,38,"Other family / relative(s)"
3586515,38,"Child/children aged 15 or older"
3587136,41,"Child/children aged under 15"
3586621,38,"Child/children aged under 15"
3587136,40,"My husband, wife or partner"
3587135,44,"Other person(s)"
3586962,38,"My husband, wife or partner"
3586522,44,"Child/children aged 15 or older"
3586522,45,"Other family / relative(s)"
3586963,37,"Other person(s)"
3586976,40,"Other family / relative(s)"
3587137,43,"Child/children aged 15 or older"
3587137,44,"Other family / relative(s)"
3587137,45,"Other person(s)"
3586522,43,"Child/children aged under 15"
3587137,42,"Child/children aged under 15"
3586522,42,"My husband, wife or partner"
3586623,55,"My husband, wife or partner"
3586630,49,"My husband, wife or partner"
3586529,52,"Child/children aged under 15"
3587138,39,"My husband, wife or partner"
3586529,51,"My husband, wife or partner"
3586980,42,"My husband, wife or partner"
3586632,40,"My husband, wife or partner"
3586646,42,"My husband, wife or partner"
3586524,38,"Child/children aged 15 or older"
3586993,42,"Other person(s)"
3587152,37,"Other person(s)"
3586995,41,"My husband, wife or partner"
3586639,41,"Other family / relative(s)"
3586538,40,"Other family / relative(s)"
3587153,42,"Other family / relative(s)"
3586648,38,"Child/children aged 15 or older"
3586996,38,"Other family / relative(s)"
3586540,91,"Other person(s)"
3587010,43,"My husband, wife or partner"
3587154,39,"Other person(s)"
3586657,48,"Other person(s)"
3587011,38,"Other family / relative(s)"
3586664,40,"Other family / relative(s)"
3587155,39,"Child/children aged 15 or older"
3587155,38,"My husband, wife or partner"
3586673,38,"Other person(s)"
3586547,55,"My husband, wife or partner"
3587013,49,"My husband, wife or partner"
3586558,53,"My husband, wife or partner"
3587170,41,"My husband, wife or partner"
3587171,41,"My husband, wife or partner"
3586565,39,"My husband, wife or partner"
3586565,40,"Child/children aged under 15"
3586563,49,"Other person(s)"
3587043,43,"My husband, wife or partner"
3586565,41,"Child/children aged 15 or older"
3587044,43,"My husband, wife or partner"
3586682,40,"Other person(s)"
3587187,37,"My husband, wife or partner"
3587185,37,"Other person(s)"
3586565,42,"Other family / relative(s)"
3586574,40,"Other family / relative(s)"
3586689,38,"Other person(s)"
3587188,38,"Other family / relative(s)"
3586579,39,"Other person(s)"
3586691,45,"Child/children aged under 15"
3586696,39,"Other family / relative(s)"
3586696,38,"Child/children aged under 15"
3587061,53,"Other person(s)"
3586579,38,"My husband, wife or partner"
3586691,44,"My husband, wife or partner"
3586588,38,"Child/children aged under 15"
3586583,40,"My husband, wife or partner"
3587061,52,"My husband, wife or partner"
3586698,49,"Other person(s)"
3586700,39,"Other family / relative(s)"
3587063,40,"Other person(s)"
3586705,39,"Other family / relative(s)"
3587220,40,"Other person(s)"
3587205,41,"My husband, wife or partner"
3587062,38,"My husband, wife or partner"
3587219,39,"My husband, wife or partner"
3586597,40,"My husband, wife or partner"
3587219,40,"Child/children aged under 15"
